country,mentions
Germany,41
Japan,33
United States,23
France,17
Vietnam,14
Italy,14
Poland,13
China,10
India,9
Russia,9
North Korea,6
Norway,5
Libya,5
Philippines,5
Austria,5
Israel,4
Finland,4
Iran,4
Pakistan,4
Greece,4
Guinea,4
Denmark,3
Hungary,3
Lithuania,3
Cuba,3
Romania,3
South Korea,2
Solomon Islands,2
Singapore,2
Ukraine,2
United Kingdom,2
Netherlands,2
South Africa,2
Latvia,2
Canada,2
Bangladesh,2
Albania,2
Egypt,2
Estonia,2
Belgium,2
Cambodia,2
Australia,2
Spain,1
Sweden,1
Rwanda,1
Thailand,1
Bulgaria,1
Seychelles,1
São Tomé and Príncipe,1
Angola,1
Algeria,1
Belarus,1
Lebanon,1
Papua New Guinea,1
Panama,1
Ghana,1
Guinea-Bissau,1
Iraq,1
Kenya,1
Mozambique,1
Morocco,1
Mongolia,1
Mexico,1
Luxembourg,1
Laos,1
Afghanistan,1
